CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
overcast clouds,06/07/2019,Fri,82.49,73.0,82.49,1012.65,,3,249.0,3.22
overcast clouds,06/08/2019,Sat,79.94,79.0,79.94,1011.82,,3,198.0,2.59
overcast clouds,06/08/2019,Sat,78.81,82.0,78.81,1011.05,,3,155.0,3.8
overcast clouds,06/08/2019,Sat,80.3,80.0,80.3,1012.23,,3,157.0,6.35
overcast clouds,06/08/2019,Sat,88.43,57.0,88.43,1013.23,,3,202.0,8.95
broken clouds,06/08/2019,Sat,93.75,47.0,93.75,1012.81,,3,226.0,10.8
broken clouds,06/08/2019,Sat,92.57,47.0,92.57,1011.56,,3,243.0,11.27
scattered clouds,06/08/2019,Sat,85.65,63.0,85.65,1012.52,,3,242.0,7.72
light rain,06/08/2019,Sat,80.61,79.0,80.61,1013.71,,3,224.0,5.77
light rain,06/09/2019,Sun,79.05,87.0,79.05,1012.64,,3,199.0,5.35
overcast clouds,06/09/2019,Sun,78.12,91.0,78.12,1012.12,,3,184.0,5.28
overcast clouds,06/09/2019,Sun,80.05,86.0,80.05,1013.44,,3,173.0,5.39
overcast clouds,06/09/2019,Sun,86.27,66.0,86.27,1014.29,,3,199.0,9.51
overcast clouds,06/09/2019,Sun,91.86,49.0,91.86,1013.35,,3,224.0,13.02
overcast clouds,06/09/2019,Sun,90.19,52.0,90.19,1012.43,,3,224.0,13.02
overcast clouds,06/09/2019,Sun,84.54,69.0,84.54,1013.61,,3,223.0,9.44
overcast clouds,06/09/2019,Sun,80.27,79.0,80.27,1014.49,,3,196.0,7.38
overcast clouds,06/10/2019,Mon,79.28,83.0,79.28,1013.41,,3,195.0,6.89
broken clouds,06/10/2019,Mon,78.77,84.0,78.77,1012.56,,3,190.0,7.72
overcast clouds,06/10/2019,Mon,82.49,76.0,82.49,1013.59,,3,199.0,11.65
light rain,06/10/2019,Mon,88.61,59.0,88.61,1013.93,,3,233.0,14.79
light rain,06/10/2019,Mon,91.92,51.0,91.92,1012.87,,3,224.0,18.95
overcast clouds,06/05/2019,Wed,88.47,58.0,86.04,1014.63,,4,116.0,3.04
